Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
17,1,0,209,209
28,2,0,224,224
36,1,317,313,630
7,2,332,329,661
47,1,739,387,1126
10,2,770,388,1158
2,1,1236,448,1684
11,2,1267,448,1715
20,1,1793,461,2254
43,2,1823,509,2332
0,1,2364,510,2874
44,2,2441,529,2970
38,1,2986,575,3561
19,2,3079,576,3655
30,1,3670,620,4290
40,2,3762,622,4384
6,1,4400,619,5019
14,2,4493,636,5129
49,1,5129,651,5780
15,2,5237,653,5890
37,1,5890,653,6543
39,2,5999,653,6652
9,1,6652,683,7335
46,2,6761,683,7444
13,1,7444,698,8142
42,2,7552,699,8251
21,1,8243,712,8955
5,2,8360,723,9083
29,1,9056,737,9793
25,2,9183,769,9952
12,1,9894,776,10670
